Source,AT_T_Performing_Arts_Center,Buckner_Park,Dallas_Heritage_Village,Dallas_World_Aquarium,Dallas_Zoo,Klyde_Warren_Park,Meadows_Museum,Reunion_Tower,Rosewood_Mansion,Six_Flags,Sixth_Floor_Museum_at_Dealey_Plaza,Verizon_Theatre
AT_T_Performing_Arts_Center,0.0:0,2.2:9,1.5:8,0.9:6,4.4:9,0.6:3,4.1:11,1.7:9,1.4:6,18.0:25,2.2:7,14.4:21
Buckner_Park,2.2:9,0.0:0,2.8:7,3.2:10,5.5:10,2.8:10,4.1:14,4.1:11,3.0:11,19.9:27,4.8:9,16.4:24
Dallas_Heritage_Village,1.5:8,2.8:7,0.0:0,1.7:8,3.0:5,1.7:8,5.2:12,1.6:6,4.7:9,17.4:21,2.3:4,13.9:18
Dallas_World_Aquarium,0.9:6,3.2:10,1.7:8,0.0:0,3.7:7,0.7:4,4.7:9,1.1:6,1.7:7,17.3:22,1.1:4,13.8:19
Dallas_Zoo,4.4:9,5.5:10,3.0:5,3.7:7,0.0:0,4.4:10,8.5:14,3.3:7,5.5:10,17.5:26,3.1:5,13.9:23
Klyde_Warren_Park,0.6:3,2.8:10,1.7:8,0.7:4,4.4:10,0.0:0,4.4:9,2.2:6,1.5:6,17.6:22,1.9:4,14.1:19
Meadows_Museum,4.1:11,4.1:14,5.2:12,4.7:9,8.5:14,4.4:9,0.0:0,6.5:12,3.0:10,21.6:28,5.9:11,18.1:26
Reunion_Tower,1.7:9,4.1:11,1.6:6,1.1:6,3.3:7,2.2:6,6.5:12,0.0:0,3.5:10,16.9:22,1.1:4,13.3:19
Rosewood_Mansion,1.4:6,3.0:11,4.7:9,1.7:7,5.5:10,1.5:6,3.0:10,3.5:10,0.0:0,18.9:24,2.7:7,15.3:23
Six_Flags,18.0:25,19.9:27,17.4:21,17.3:22,17.5:26,17.6:22,21.6:28,16.9:22,18.9:24,0.0:0,16.4:19,6.2:12
Sixth_Floor_Museum_at_Dealey_Plaza,2.2:7,4.8:9,2.3:4,1.1:4,3.1:5,1.9:4,5.9:11,1.1:4,2.7:7,16.4:19,0.0:0,13.3:20
Verizon_Theatre,14.4:21,16.4:24,13.9:18,13.8:19,13.9:23,14.1:19,18.1:26,13.3:19,15.3:23,6.2:12,13.3:20,0.0:0
